Date,Open,High,Low,Close,Adj Close,Volume
1991-08-05,10.000000,10.000000,10.000000,10.000000,2.784391,0
1991-08-06,10.050000,10.050000,10.050000,10.050000,2.798313,0
1991-08-07,10.580000,10.580000,10.580000,10.580000,2.945886,0
1991-08-08,10.560000,10.560000,10.560000,10.560000,2.940317,0
1991-08-09,10.610000,10.610000,10.610000,10.610000,2.954238,0
1991-08-12,10.610000,10.610000,10.610000,10.610000,2.954238,0
1991-08-13,10.630000,10.630000,10.630000,10.630000,2.959807,0
1991-08-14,10.630000,10.630000,10.630000,10.630000,2.959807,0
1991-08-15,10.710000,10.710000,10.710000,10.710000,2.982082,0
1991-08-16,10.700000,10.700000,10.700000,10.700000,2.979297,0
1991-08-19,10.470000,10.470000,10.470000,10.470000,2.915257,0
1991-08-20,10.510000,10.510000,10.510000,10.510000,2.926394,0
1991-08-21,10.710000,10.710000,10.710000,10.710000,2.982082,0
1991-08-22,10.680000,10.680000,10.680000,10.680000,2.973730,0
1991-08-23,10.710000,10.710000,10.710000,10.710000,2.982082,0
1991-08-26,10.690000,10.690000,10.690000,10.690000,2.976513,0
1991-08-27,10.800000,10.800000,10.800000,10.800000,3.007142,0
1991-08-28,10.970000,10.970000,10.970000,10.970000,3.054476,0
1991-08-29,11.000000,11.000000,11.000000,11.000000,3.062829,0
1991-08-30,10.990000,10.990000,10.990000,10.990000,3.060046,0
1991-09-03,10.910000,10.910000,10.910000,10.910000,3.037770,0
1991-09-04,10.790000,10.790000,10.790000,10.790000,3.004357,0
1991-09-05,10.890000,10.890000,10.890000,10.890000,3.032201,0
1991-09-06,10.900000,10.900000,10.900000,10.900000,3.034986,0
1991-09-09,10.890000,10.890000,10.890000,10.890000,3.032201,0
1991-09-10,10.860000,10.860000,10.860000,10.860000,3.023848,0
1991-09-11,10.830000,10.830000,10.830000,10.830000,3.015495,0
1991-09-12,10.910000,10.910000,10.910000,10.910000,3.037770,0
1991-09-13,10.870000,10.870000,10.870000,10.870000,3.026633,0
1991-09-16,10.920000,10.920000,10.920000,10.920000,3.040555,0
1991-09-17,10.940000,10.940000,10.940000,10.940000,3.046124,0
1991-09-18,10.930000,10.930000,10.930000,10.930000,3.043340,0
1991-09-19,11.000000,11.000000,11.000000,11.000000,3.062829,0
1991-09-20,11.010000,11.010000,11.010000,11.010000,3.065614,0
1991-09-23,11.030000,11.030000,11.030000,11.030000,3.071183,0
1991-09-24,11.010000,11.010000,11.010000,11.010000,3.065614,0
1991-09-25,11.050000,11.050000,11.050000,11.050000,3.076751,0
1991-09-26,11.050000,11.050000,11.050000,11.050000,3.076751,0
1991-09-27,11.040000,11.040000,11.040000,11.040000,3.073967,0
1991-09-30,11.050000,11.050000,11.050000,11.050000,3.076751,0
1991-10-01,11.060000,11.060000,11.060000,11.060000,3.079536,0
1991-10-02,11.080000,11.080000,11.080000,11.080000,3.085105,0
1991-10-03,11.010000,11.010000,11.010000,11.010000,3.065614,0
1991-10-04,10.960000,10.960000,10.960000,10.960000,3.051691,0
1991-10-07,10.920000,10.920000,10.920000,10.920000,3.040555,0
1991-10-08,10.980000,10.980000,10.980000,10.980000,3.057261,0
